x,y,yaw
152,9,-2.32590073027357
156,13,-2.32590073027357
160,17,-2.32590073027357
154,23,-1.8023019546752712
155,30,-2.32590073027357
159,34,-2.32590073027357
163,38,-2.32590073027357
